Date,IWM_Close,TrendUp,InDay,Entry,OutDay,Position,StopLevel,MTM,Equity
2000-05-26,34.40634,---,---,,---,0,,0.0,10000.0
2000-05-30,35.6763,---,---,,---,0,,0.0,10000.0
2000-05-31,35.80563,---,---,,---,0,,0.0,10000.0
2000-06-01,36.617,---,---,,---,0,,0.0,10000.0
2000-06-02,38.52191,---,---,,---,0,,0.0,10000.0
2000-06-05,38.38082,---,---,,---,0,,0.0,10000.0
2000-06-06,38.75709,---,---,,---,0,,0.0,10000.0
2000-06-07,38.80414,---,---,,---,0,,0.0,10000.0
2000-06-08,38.71007,---,---,,---,0,,0.0,10000.0
2000-06-09,39.39207,---,---,,---,0,,0.0,10000.0
2000-06-12,38.22207,---,---,,---,0,,0.0,10000.0
2000-06-13,38.71007,---,---,,---,0,,0.0,10000.0
2000-06-14,38.52191,---,---,,---,0,,0.0,10000.0
2000-06-15,38.56896,---,---,,---,0,,0.0,10000.0
2000-06-16,38.35729,---,---,,---,0,,0.0,10000.0
2000-06-19,39.32152,---,---,,---,0,,0.0,10000.0
2000-06-20,39.58022,---,---,,---,0,,0.0,10000.0
2000-06-21,39.79106,---,---,,---,0,,0.0,10000.0
2000-06-22,38.59099,---,---,,---,0,,0.0,10000.0
2000-06-23,38.33212,---,---,,---,0,,0.0,10000.0
2000-06-26,38.80274,---,---,,---,0,,0.0,10000.0
2000-06-27,38.19096,---,---,,---,0,,0.0,10000.0
2000-06-28,39.15572,---,---,,---,0,,0.0,10000.0
2000-06-29,38.5439,---,---,,---,0,,0.0,10000.0
2000-06-30,38.91453,---,---,,---,0,,0.0,10000.0
2000-07-03,39.46162,---,---,,---,0,,0.0,10000.0
2000-07-05,39.01453,---,---,,---,0,,0.0,10000.0
2000-07-06,39.47339,---,---,,---,0,,0.0,10000.0
2000-07-07,39.72045,---,---,,---,0,,0.0,10000.0
2000-07-10,39.97929,---,---,,---,0,,0.0,10000.0
2000-07-11,39.93225,---,---,,---,0,,0.0,10000.0
2000-07-12,40.73228,---,---,,---,0,,0.0,10000.0
2000-07-13,40.86171,---,---,,---,0,,0.0,10000.0
2000-07-14,40.89702,---,---,,---,0,,0.0,10000.0
2000-07-17,41.0382,---,---,,---,0,,0.0,10000.0
2000-07-18,40.33226,---,---,,---,0,,0.0,10000.0
2000-07-19,39.62634,---,---,,---,0,,0.0,10000.0
2000-07-20,40.28521,---,---,,---,0,,0.0,10000.0
2000-07-21,39.17924,---,---,,---,0,,0.0,10000.0
2000-07-24,38.60862,---,---,,---,0,,0.0,10000.0
2000-07-25,38.68507,---,---,,---,0,,0.0,10000.0
2000-07-26,38.6145,---,---,,---,0,,0.0,10000.0
2000-07-27,37.5556,---,---,,---,0,,0.0,10000.0
2000-07-28,36.89673,---,---,,---,0,,0.0,10000.0
2000-07-31,37.83797,---,---,,---,0,,0.0,10000.0
2000-08-01,37.59088,---,---,,---,0,,0.0,10000.0
2000-08-02,37.64973,---,---,,---,0,,0.0,10000.0
2000-08-03,37.62619,---,---,,---,0,,0.0,10000.0
2000-08-04,37.81444,---,---,,---,0,,0.0,10000.0
2000-08-07,38.5145,---,---,,---,0,,0.0,10000.0
2000-08-08,38.33212,---,---,,---,0,,0.0,10000.0
2000-08-09,38.05564,---,---,,---,0,,0.0,10000.0
2000-08-10,37.83797,---,---,,---,0,,0.0,10000.0
2000-08-11,38.49686,---,---,,---,0,,0.0,10000.0
2000-08-14,38.89688,---,---,,---,0,,0.0,10000.0
2000-08-15,38.33212,---,---,,---,0,,0.0,10000.0
2000-08-16,38.52036,---,---,,---,0,,0.0,10000.0
2000-08-17,38.87334,---,---,,---,0,,0.0,10000.0
2000-08-18,38.81451,---,---,,---,0,,0.0,10000.0
2000-08-21,38.95569,---,---,,---,0,,0.0,10000.0
2000-08-22,38.89688,---,---,,---,0,,0.0,10000.0
2000-08-23,38.83804,---,---,,---,0,,0.0,10000.0
2000-08-24,39.41456,---,---,,---,0,,0.0,10000.0
2000-08-25,39.57926,---,---,,---,0,,0.0,10000.0
2000-08-28,39.64988,---,---,,---,0,,0.0,10000.0
2000-08-29,40.02638,---,---,,---,0,,0.0,10000.0
2000-08-30,40.07343,---,---,,---,0,,0.0,10000.0
2000-08-31,40.47345,---,---,,---,0,,0.0,10000.0
2000-09-01,40.80288,---,---,,---,0,,0.0,10000.0
2000-09-05,40.52053,---,---,,---,0,,0.0,10000.0
