InDate,ExDate,Position,Duration,Entry,Exit,Value,PNL
2001-05-30,2001-06-12,263,13,37.989349,38.43782,117.9478730000013,117.9478730000013
2001-06-15,2001-06-28,270,13,37.370124,38.20903,226.5046200000004,344.4524930000017
2001-07-09,2001-07-20,281,11,36.70278,36.98879,80.36881000000128,424.821303000003
2001-12-14,2001-12-28,291,14,35.812624,37.6167,524.9861160000006,949.8074190000036
2002-01-15,2002-01-29,296,14,36.921944,36.16193,-224.96414400000157,724.843275000002
2002-04-25,2002-05-08,277,13,38.659822,39.04413,106.4533160000012,831.2965910000032
2002-05-13,2002-05-21,287,8,37.718285,37.89126,49.643825000000284,880.9404160000036
2002-05-23,2002-06-03,286,11,37.929655,36.21954,-489.0928899999985,391.8475260000051
2002-06-04,2002-06-17,287,13,36.1619,36.07687,-24.40361000000094,367.44391600000415
2003-06-23,2003-07-07,297,14,34.845797,36.21077,405.39698099999976,772.8408970000039
2003-07-18,2003-07-31,299,13,35.95726,36.92446,289.1928000000016,1062.0336970000055
2003-08-06,2003-08-19,311,13,35.477575,38.18414,841.7417149999993,1903.775412000005
2003-09-25,2003-10-08,300,13,39.610658,40.21267,180.6036000000006,2084.379012000006
2003-10-23,2003-11-05,304,13,39.735756,42.20629,751.0423360000002,2835.421348000006
2003-11-12,2003-11-25,310,13,41.311111,42.35484,323.5559900000019,3158.977338000008
2003-12-10,2003-12-23,314,13,41.827101,43.32491,470.3120260000012,3629.2893640000093
2004-01-29,2004-02-11,297,13,45.8762,46.65063,230.0057100000007,3859.29507400001
2004-02-20,2004-03-04,303,13,45.656066,46.86685,366.867551999999,4226.162626000009
2004-03-11,2004-03-22,317,11,44.783361,43.83596,-300.3261169999998,3925.8365090000098
2004-03-23,2004-04-05,315,13,44.15439,47.55539,1071.315000000001,4997.15150900001
2004-04-14,2004-04-27,328,13,45.657118,46.35422,228.64945600000033,5225.80096500001
2004-04-30,2004-05-10,340,10,44.739496,42.10868,-894.477440000001,4331.323525000009
2004-06-15,2004-06-28,324,13,44.195993,45.94774,567.5660280000005,4898.889553000009
2004-07-07,2004-07-20,331,13,45.000042,44.44329,-184.284912000001,4714.604641000008
2004-09-23,2004-10-06,329,13,44.656505,46.71702,677.9094349999984,5392.514076000007
2004-10-14,2004-10-27,343,13,44.852763,46.24206,476.5288709999997,5869.042947000006
2004-12-08,2004-12-21,320,13,49.475792,51.06298,507.9001600000015,6376.943107000008
2005-01-05,2005-01-19,330,14,49.609772,48.66872,-310.54715999999974,6066.395947000008
2005-01-25,2005-02-07,333,13,48.108855,50.32849,739.1384550000013,6805.534402000009
2005-02-23,2005-03-08,342,13,49.030056,50.4873,498.37744799999854,7303.911850000008
2005-03-10,2005-03-23,346,13,49.986979,48.52181,-506.9484739999986,6796.963376000009
2005-03-24,2005-04-07,344,14,48.780261,49.12728,119.37453599999861,6916.337912000007
2005-06-27,2005-07-11,339,14,49.795242,53.39317,1219.6975919999986,8136.035504000006
2005-08-08,2005-08-19,342,11,52.905451,52.05795,-289.8453420000004,7846.190162000005
2005-09-16,2005-09-21,335,5,53.225261,51.65018,-527.6521350000015,7318.538027000004
2005-09-22,2005-10-05,334,13,51.70616,51.40716,-99.86599999999983,7218.672027000004
2005-10-06,2005-10-12,334,6,51.399151,49.41825,-661.620934000001,6557.051093000004
2005-12-20,2006-01-04,308,15,53.668781,55.08383,435.83509199999884,6992.886185000002
2006-02-08,2006-02-22,295,14,57.515168,58.62618,327.74853999999857,7320.634725000001
2006-03-08,2006-03-21,301,13,57.523227,58.77113,375.61880300000024,7696.253528000001
2006-04-10,2006-04-24,292,14,60.542872,61.38203,245.0341359999993,7941.287664
2006-04-28,2006-05-11,295,13,60.712301,60.76878,16.6613050000009,7957.948969000001
2006-05-12,2006-05-23,297,11,60.365329,56.6293,-1109.6006130000005,6848.348356
2006-11-02,2006-11-15,280,13,60.083894,63.80516,1041.9544799999999,7890.302836000001
2006-11-28,2006-12-11,288,13,62.094523,64.0322,558.0509760000002,8448.353812000001
2007-01-08,2007-01-22,294,14,62.651123,62.84655,57.45553800000066,8505.809350000001
2007-02-28,2007-03-05,290,5,63.807277,61.20189,-755.5622300000001,7750.247120000001
2007-03-06,2007-03-19,285,13,62.089347,63.69327,457.1180550000005,8207.365175
2007-05-01,2007-05-14,275,13,66.06719,66.58109,141.32250000000184,8348.687675000003
2007-05-16,2007-05-30,277,14,66.156919,68.36758,612.3530970000005,8961.040772000004
